Name,Team,Pos,Age,K/BB,SIERA,xFIP,FBv,WAR,Actual Salary
"Alcantara, Sandy",MIA,SP,26,4.14,3.42,3.29,97.9,5.7,3500000
"Anderson, Tyler",LAD,SP,32,3.82,4.13,4.17,90.5,3.7,716900
"Archer, Chris",MIN,SP,33,1.75,4.76,4.57,93.1,0.5,2750000
"Ashcraft, Graham",CIN,SP,24,2.37,4.22,4.09,97.2,1.3,700000
"Bassitt, Chris",NYM,SP,33,3.41,3.75,3.72,92.9,2.7,8650000
"Berrios, Jose",TOR,SP,28,3.31,4.13,4.21,94,1.1,10000000
"Bieber, Shane",CLE,SP,27,5.5,3.21,2.98,91.3,4.9,6000000
"Blackburn, Paul",OAK,SP,28,2.97,4.09,3.89,91.7,0.8,710000
"Bradish, Kyle",BAL,SP,25,2.41,4.15,4.01,94.7,0.7,700000
"Brubaker, JT",PIT,SP,28,2.72,3.97,3.87,93.1,1.9,725000
"Bubic, Kris",KCR,SP,24,1.71,4.81,4.55,91.9,0.5,713750
"Bumgarner, Madison",ARI,SP,32,2.29,4.76,4.83,91.2,0.5,23000000
"Bundy, Dylan",MIN,SP,29,3.36,4.65,4.7,89.2,0.7,4000000
"Burnes, Corbin",MIL,SP,27,4.76,2.91,2.85,96.3,4.6,6500000
"Carrasco, Carlos",NYM,SP,35,3.71,3.6,3.45,92.9,2.4,12000000
"Castillo, Luis",SEA,SP,29,3.71,3.35,3.23,97.1,3.7,7350000
"Cease, Dylan",CHW,SP,26,2.91,3.48,3.5,96.8,4.4,750000
"Clevinger, Mike",SDP,SP,31,2.54,4.53,4.81,93.5,0.4,6500000
"Cobb, Alex",SFG,SP,34,3.51,3.15,2.89,94.8,3.7,9000000
"Cole, Gerrit",NYY,SP,31,5.14,2.77,2.77,97.8,3.3,36000000
"Corbin, Patrick",WSN,SP,32,2.61,4.33,4.21,92.7,0.8,23000000
"Cortes, Nestor",NYY,SP,27,4.29,3.48,3.63,91.8,3.6,727500
"Cueto, Johnny",CHW,SP,36,3.06,4.52,4.39,91.5,2.5,4200000
"Darvish, Yu",SDP,SP,35,5.32,3.39,3.58,95,4.2,20000000
"Davies, Zach",ARI,SP,29,1.96,4.71,4.57,89.6,0.5,1500000
"Detmers, Reid",LAA,SP,22,2.65,4.12,4.2,93.2,2.3,710000
"Dunning, Dane",TEX,SP,27,2.21,4.17,4.03,89.5,0.9,714000
"Eovaldi, Nathan",BOS,SP,32,5.15,3.55,3.46,95.8,1,17000000
"Fedde, Erick",WSN,SP,29,1.62,5,4.74,92.6,0.4,2150000
"Freeland, Kyle",COL,SP,29,2.47,4.51,4.48,90,2.6,7000000
"Fried, Max",ATL,SP,28,5.31,3.31,3.09,93.9,5,6850000
"Gallen, Zac",ARI,SP,26,4.09,3.32,3.31,94.2,4.3,745600
"Garcia, Luis",HOU,SP,25,3.34,3.77,3.82,94,2.1,1251500
"Gausman, Kevin",TOR,SP,31,7.32,2.94,2.75,95,5.7,21000000
"Gibson, Kyle",PHI,SP,34,3,4.06,3.94,91.8,1.8,7000000
"Gilbert, Logan",SEA,SP,25,3.55,3.84,3.78,96.2,3.2,712300
"Giolito, Lucas",CHW,SP,27,2.9,3.79,3.66,92.6,1.8,7450000
"Gonsolin, Tony",LAD,SP,28,3.4,3.74,3.69,93.2,2.7,720000
"Gonzales, Marco",SEA,SP,30,2.06,4.99,4.9,88.5,0.1,5500000
"Gray, Jon",TEX,SP,30,3.44,3.56,3.46,96,1.8,15000000
"Gray, Josiah",WSN,SP,24,2.33,4.27,4.57,94.5,-0.6,703500
"Gray, Sonny",MIN,SP,32,3.25,3.73,3.66,92.1,2.4,10700000
"Greene, Hunter",CIN,SP,22,3.42,3.33,3.64,99,1.6,700000
"Greinke, Zack",KCR,SP,38,2.7,4.84,4.54,89.2,1.9,13000000
"Heasley, Jon",KCR,SP,25,1.49,5.3,5.49,93.4,-0.5,700000
"Hill, Rich",BOS,SP,42,2.95,4.13,4.12,88.3,1.8,5000000
"Houser, Adrian",MIL,SP,29,1.43,5.09,4.7,93.9,1,2425000
"Irvin, Cole",OAK,SP,28,3.56,4.37,4.35,90.6,1.4,705000
"Javier, Cristian",HOU,SP,25,3.53,3.28,3.6,93.9,3.1,749100
"Kaprielian, James",OAK,SP,28,1.66,5.04,5.06,94.1,0.3,705000
"Keller, Mitch",PIT,SP,26,2.32,4.19,3.97,95.1,2.1,725000
"Kelly, Merrill",ARI,SP,33,2.9,4.01,3.86,92.7,3.3,5250000
"Kershaw, Clayton",LAD,SP,34,5.96,2.98,2.83,90.8,3.8,14500000
"Kirby, George",SEA,SP,24,6.05,3.32,3.33,95.2,3,700000
"Kluber, Corey",TBR,SP,36,6.62,3.85,3.92,88.9,3,8000000
"Kopech, Michael",CHW,SP,26,1.84,4.73,4.83,94.9,1,730000
"Kremer, Dean",BAL,SP,26,2.63,4.52,4.41,93.2,1.7,705500
"Kuhl, Chad",COL,SP,29,1.9,4.8,4.78,92.8,0.5,3000000
"Lauer, Eric",MIL,SP,27,2.66,4.07,4.08,93.4,1.1,2425000
"Lodolo, Nick",CIN,SP,24,3.36,3.29,3.49,94.2,1.8,700000
"Lopez, Pablo",MIA,SP,26,3.28,3.71,3.56,93.6,2.8,2450000
"Luzardo, Jesus",MIA,SP,24,3.43,3.28,3.11,96.1,2.2,715000
"Lyles, Jordan",BAL,SP,31,2.77,4.36,4.39,91.5,1.4,5500000
"Lynch, Daniel",KCR,SP,25,2.35,4.34,4.3,94,0.7,703600
"Lynn, Lance",CHW,SP,35,6.53,3.35,3.44,92.7,1.9,18500000
"Mahle, Tyler",MIN,SP,27,2.93,3.88,4.03,93.3,2.1,5200000
"Manaea, Sean",SDP,SP,30,3.02,3.95,3.99,91.2,1,9750000
"Manoah, Alek",TOR,SP,24,3.53,3.85,3.97,93.6,4.1,730000
"Marquez, German",COL,SP,27,2.38,4.27,4.02,95.4,1.4,11000000
"McClanahan, Shane",TBR,SP,25,5.11,2.82,2.6,96.8,3.5,711400
"McKenzie, Triston",CLE,SP,24,4.5,3.53,3.72,92.6,3.6,707100
"Mikolas, Miles",STL,SP,33,3.92,3.96,3.78,93.3,2.7,15750000
"Montas, Frankie",NYY,SP,29,3.3,3.74,3.61,95.9,2,5025000
"Montgomery, Jordan",STL,SP,29,4.39,3.61,3.43,93.1,2.7,6000000
"Morton, Charlie",ATL,SP,38,3.25,3.48,3.6,94.9,1.5,20000000
"Musgrove, Joe",SDP,SP,29,4.38,3.45,3.47,92.9,3.5,8625000
